Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
Труба металлическая,1000,https://www.avito.ru/petrovsk/remont_i_stroitelstvo/truba_metallicheskaya_1738308791,"Продаю трубы для забора, или под другие нужды — 3штук. Цена 1000 рублей за одну трубу. Трубу закопаны, в земле залиты в бетон. Выкапывать и вывозить предстоит вам. Диаметр- 10 см, высота- 2 м, толщина -2.5 см.",1319,сегодня в 14:57,Частное лицо,"Саратовская область, Петровский р-н, Петровск"
Труба б/у 273 стенка 9 мм,33000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_bu_273_stenka_9_mm_1816514601,"Продается б/у труба 273х9мм. Трубу можно использовать для: Свай, шпунтового ограждения котлованов, распорной системы. Трубошпунт, Футляры, Прокол, Шнек. Дополнительные услуги по трубе б/у: Фаска, рез в размер, стыковка, очистка, восстановление и доставка. А также погружение и извлечение.",42,сегодня в 11:47,Компания,Москва
Труба б/у 219 стенка 7 мм,56900,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_bu_219_stenka_7_mm_1816861219,"Продается б/у труба 219х6мм. Трубу можно использовать для: Свай, шпунтового ограждения котлованов, распорной системы. Трубошпунт, Футляры, Прокол, Шнек. Дополнительные услуги по трубе б/у: Фаска, рез в размер, стыковка, очистка, восстановление и доставка. А также погружение и извлечение.",104,сегодня в 11:47,Компания,Москва
Труба б/у 530 стенка 8 мм,64000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_bu_530_stenka_8_mm_1816834088,"Продается б/у труба 530х8мм. Трубу бу можно использовать для: Свай, шпунтового ограждения котлованов, распорной системы. Трубошпунт, Футляры, Прокол, Шнек. Дополнительные услуги по трубе б/у: Фаска, рез в размер, стыковка, очистка, восстановление и доставка. А также погружение и извлечение.",141,сегодня в 11:47,Компания,Москва
Труба б/у 426 стенка 9мм,62000,https://www.avito.ru/aprelevka/remont_i_stroitelstvo/truba_bu_426_stenka_9mm_1816245975,"Продается б/у труба 426х9мм. Трубу бу можно использовать для: Свай, шпунтового ограждения котлованов, распорной системы. Трубошпунт, Футляры, Прокол, Шнек. Дополнительные услуги по трубе б/у: Фаска, рез в размер, стыковка, очистка, восстановление и доставка. А также погружение и извлечение.",82,сегодня в 11:46,Компания,"Московская область, Наро-Фоминский г.о., Апрелевка"
Труба б/у 273 стенка 8 мм,58500,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_bu_273_stenka_8_mm_1816492171,"Продается б/у труба 273х8мм. Трубу можно использовать для: Свай, шпунтового ограждения котлованов, распорной системы. Трубошпунт, Футляры, Прокол, Шнек. Дополнительные услуги по трубе б/у: Фаска, рез в размер, стыковка, очистка, восстановление и доставка. А также погружение и извлечение.",64,сегодня в 11:46,Компания,Москва
Труба б/у 377 стенка 8 мм,58000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_bu_377_stenka_8_mm_1816471319,"Продается б/у труба 377х8мм. Трубу бу можно использовать для: Свай, шпунтового ограждения котлованов, распорной системы. Трубошпунт, Футляры, Прокол, Шнек. Дополнительные услуги по трубе б/у: Фаска, рез в размер, стыковка, очистка, восстановление и доставка. А также погружение и извлечение.",86,сегодня в 11:46,Компания,Москва
Труба б/у 325 стенка 8 мм,57500,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_bu_325_stenka_8_mm_1816663263,"Продается б/у труба 325х8мм 40000 с Ндс! Длина от 11 метров! Трубу бу можно использовать для: Свай, шпунтового ограждения котлованов, распорной системы. Трубошпунт, Футляры, Прокол, Шнек. Дополнительные услуги по трубе б/у: Фаска, рез в размер, стыковка, очистка, восстановление и доставка. А также погружение и извлечение.",128,сегодня в 11:46,Компания,Москва
Труба б/у 273 стенка 7 мм,65000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_bu_273_stenka_7_mm_1816812028,"Продается б/у труба 273х7мм. Трубу можно использовать для: Свай, шпунтового ограждения котлованов, распорной системы. Трубошпунт, Футляры, Прокол, Шнек. Дополнительные услуги по трубе б/у: Фаска, рез в размер, стыковка, очистка, восстановление и доставка. А также погружение и извлечение.",47,сегодня в 11:46,Компания,Москва
Труба б/у 426 со стенкой 7-8-9-10,62000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_bu_426_so_stenkoy_7-8-9-10_1816797350,"Продается б/у труба 426х7мм. 426x8мм. 426x9мм. 426x10мм. Трубу бу можно использовать для: Свай, шпунтового ограждения котлованов, распорной системы. Трубошпунт, Футляры, Прокол, Шнек. Дополнительные услуги по трубе б/у: Фаска, рез в размер, стыковка, очистка, восстановление и доставка. А также погружение и извлечение.",142,сегодня в 11:46,Компания,Москва
Труба б/у 219 стенка 9 мм,63000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_bu_219_stenka_9_mm_1816016535,"Продается б/у труба 219х9мм. Трубу можно использовать для: Свай, шпунтового ограждения котлованов, распорной системы. Трубошпунт, Футляры, Прокол, Шнек. Дополнительные услуги по трубе б/у: Фаска, рез в размер, стыковка, очистка, восстановление и доставка. А также погружение и извлечение.",109,сегодня в 11:46,Компания,Москва
Труба б/у 325 стенка 9 мм,60500,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_bu_325_stenka_9_mm_1816482795,"Продается б/у труба 325х9мм. Трубу бу можно использовать для: Свай, шпунтового ограждения котлованов, распорной системы. Трубошпунт, Футляры, Прокол, Шнек. Дополнительные услуги по трубе б/у: Фаска, рез в размер, стыковка, очистка, восстановление и доставка. А также погружение и извлечение.",46,сегодня в 11:46,Компания,Москва
Труба б/у 426 стенка 8 мм,61500,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_bu_426_stenka_8_mm_1816317213,"Продается б/у труба 426 х 8мм. Трубу бу можно использовать для: Свай, шпунтового ограждения котлованов, распорной системы. Трубошпунт, Футляры, Прокол, Шнек. Дополнительные услуги по трубе б/у: Фаска, рез в размер, стыковка, очистка, восстановление и доставка. А также погружение и извлечение.",67,сегодня в 11:46,Компания,Москва
Ворота вместе с трубами,14990,https://www.avito.ru/groznyy/remont_i_stroitelstvo/vorota_vmeste_s_trubami_3375643426,"Ворота СССР, толстый лист, ширина ворот — 3,40, калитка — 90. Общая 4,80.",478,сегодня в 11:40,Частное лицо,"Чеченская Республика, Грозный"
Трубы алюминевые ду 110 и 210,1,https://www.avito.ru/satinka/remont_i_stroitelstvo/truby_alyuminevye_du_110_i_210_2395922090,"Продам трубы алюминиевые 110/11метров, 210/6метров цена договорная.",-,-,no,Тамбовская область
Профильная труба 100х100 бу,470,https://www.avito.ru/kazan/remont_i_stroitelstvo/profilnaya_truba_100h100_bu_3549287207,Продается труба бу 100х100х3мм 470р/м. 2.93м 1380р. 3.07м 1442р. 5.00м 2350р. Швеллер 520р/м. 3.07м 1600р. 2.62м 1360р. 2.22м 1150р.,-,-,no,"Республика Татарстан, Казань"
Труба для теплых полов,2500,https://www.avito.ru/krasnodar/remont_i_stroitelstvo/truba_dlya_teplyh_polov_2416863112,На фото указаны какие.,-,-,no,"Краснодарский край, Краснодар"
Труба 110 толщина 4 мм метал,40,https://www.avito.ru/roslavl/remont_i_stroitelstvo/truba_110_tolschina_4_mm_metal_3029424080,Труба 110 × 4мм в наличии 6м 5.5м 4м 2.5м. Всего. 150 м. 40р. Кг. Или 420р метр. Есть и другие размеры количество и цену уточняйте по телефону.,-,-,no,"Смоленская область, Рославльский р-н, Рославльское городское поселение, Рославль"
"Труба 200,300,400,500,600,700,800,1000",1700,https://www.avito.ru/perm/remont_i_stroitelstvo/truba_2003004005006007008001000_3071034318,"Труба металлическая, разные диаметры, резка погрузка.",-,-,no,"Пермский край, Пермь"
Труба бетон 3 шт,800,https://www.avito.ru/podolsk/remont_i_stroitelstvo/truba_beton_3_sht_3553837685,Самовывоз и самопогруз. Манипулятор не подъедет в ручную нести из сада до ворот метров 30. Длина и диаметр на фото. Старинные трубы более 20 лет им. Цена за штуку 800. Также есть блоки керамзитобетон. 50 шт на паллете. 390*290*190. Шестищелевой. 60 руб штука. Можно манипулятором погрузить.,-,-,no,"Московская область, Подольск"
Труба пнд 58 мм,5000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_pnd_58_mm_3211648481,Труба Пнд 58мм длина не могу точно сказать 6 ветков 50метров вроде.,-,-,no,Москва
Труба 500ая железобетонная,12000,https://www.avito.ru/groznyy/remont_i_stroitelstvo/truba_500aya_zhelezobetonnaya_1041781949,Труба ж/б 500. Длина 5метров. Цена 12000₽/шт. С. Гойты.,-,-,no,"Чеченская Республика, Урус-Мартановский р-н"
Труба метал,1000,https://www.avito.ru/kansk/remont_i_stroitelstvo/truba_metal_2183204489,"Продам труба метал диаметр 200мм длинна 2,5м толщина 7мм. Подойдет на дымоход. В наличии 3 шт. Доставка имеется. Цена договорная. Торг.",-,-,no,"Красноярский край, Канск"
Труба металлическая бу,100,https://www.avito.ru/neftekamsk/remont_i_stroitelstvo/truba_metallicheskaya_bu_3284340912,"Труба 160 мм длина 2,7м (1шт) 1100 р/метр. Труба 120 мм длина 7,5м (4шт); 4,5м (4шт) 720 р/метр. Труба 60 мм длина 6м (5шт) 240 р/метр. Батареи из 120мм трубы. Самовывоз, Расчет наличными. Меньше 2000р. Просьба не беспокоить.",-,-,no,"Республика Башкортостан, Нефтекамск"
Труба d57 б/у,200,https://www.avito.ru/altayskiy_kray_tselinnoe/remont_i_stroitelstvo/truba_d57_bu_3288075406,"Труба для отопления d57 бу, толщина стенки 3 мм, цена указана за 1 метр, примерно в наличии 80 метров.",-,-,no,"Алтайский край, Целинный р-н, с. Целинное"
Труба металлическая,5000,https://www.avito.ru/labinsk/remont_i_stroitelstvo/truba_metallicheskaya_3762560904,Металлическая труба на строение. Размеры вышлю если заинтересует.,-,-,no,"Краснодарский край, Лабинский р-н, Лабинское городское поселение, Лабинск"
Сэндвич труба,4000,https://www.avito.ru/smolensk/remont_i_stroitelstvo/sendvich_truba_3492688928,"Внутренняя труба 150, внешняя 300 мм.",-,-,no,"Смоленская область, Смоленский р-н, Хохловское сельское поселение, д. Лубня"
Труба под дорогу и дренажа,1500,https://www.avito.ru/kaluga/remont_i_stroitelstvo/truba_pod_dorogu_i_drenazha_800549335,"Труба металлическая э/с 299х5 мм, длина 10-11,5 м. Данная труба идеально подходит для футляров, отвода воды и обустройства дренажных систем. Цена за метр =1500 рублей. Возможна продажа трубы в ваш размер. Резка платная 350 рублей рез.",-,-,no,"Калужская область, Калуга"
Труба асбестовая,2000,https://www.avito.ru/mostovskoy/remont_i_stroitelstvo/truba_asbestovaya_3494943900,Продам трубу длина 3.30 от сломанной части диаметр 30 см.,-,-,no,"Краснодарский край, Мостовский р-н, Мостовское городское поселение, пос. городского типа Мостовской"
Трубы стальные бесшовные d 150мм толщина 9мм,20000,https://www.avito.ru/beloomut/remont_i_stroitelstvo/truby_stalnye_besshovnye_d_150mm_tolschina_9mm_2375835593,"Продаю трубы стальные бесшовные. Диаметр 150мм толщина стенок 9мм. Всего 7 труб. Три трубы длиной 3,40. Четыре трубы длиной 1,70. Один метр стоит 1170. Общая длина 17 метров. Торг уместен.",-,-,no,"Московская область, г.о. Луховицы, рабочий пос. Белоомут"
Труба металлическая,15000,https://www.avito.ru/kavalerovo/remont_i_stroitelstvo/truba_metallicheskaya_2789821913,"Продам трубу стальную. Размер: длина 4 м., диаметр 60 см.",39,сегодня в 16:00,Частное лицо,"Приморский край, Кавалеровский муниципальный округ, пос. городского типа Кавалерово"
Труба металлическая,8000,https://www.avito.ru/tverskaya_oblast_krasnyy_holm/remont_i_stroitelstvo/truba_metallicheskaya_2397463659,"Труба на переезд: 5 метров, диаметр 32,5 см., толщина стенки 5 мм. — 8000 р. Возможна доставка.",840,сегодня в 16:00,Компания,"Тверская область, Краснохолмский муниципальный округ, Красный Холм"
Труба д57,800,https://www.avito.ru/chaykovskiy/remont_i_stroitelstvo/truba_d57_3136632922,Труба д57 толщина стенки 3.5мм длина 3м (новая) цена за трубу (шт). Читайте Внимательно.,452,сегодня в 15:57,Частное лицо,"Пермский край, Чайковский г.о., Чайковский"
Труба,20000,https://www.avito.ru/cherkessk/remont_i_stroitelstvo/truba_3452057630,Продаю две трубы длина 10 метров.,0,сегодня в 15:53,Частное лицо,"Карачаево-Черкесская Республика, Черкесск"
Труба нерж 110мм,2500,https://www.avito.ru/chelyabinsk/remont_i_stroitelstvo/truba_nerzh_110mm_3451775053,"Три куска нержавеющей трубы диаметром 110мм стенка 2мм можно использовать как дымоходную. Длина у двух труб 1400мм, а у третьей 940мм. Цена указана за одну трубу.",0,сегодня в 15:52,Частное лицо,"Челябинская область, Челябинск"
Трубы алюминевые ду 110 и 210,1,https://www.avito.ru/satinka/remont_i_stroitelstvo/truby_alyuminevye_du_110_i_210_2395922090,"Продам трубы алюминиевые 110/11метров, 210/6метров цена договорная.",163,сегодня в 15:39,Частное лицо,Тамбовская область
Профильная труба 100х100 бу,470,https://www.avito.ru/kazan/remont_i_stroitelstvo/profilnaya_truba_100h100_bu_3549287207,Продается труба бу 100х100х3мм 470р/м. 2.93м 1380р. 3.07м 1442р. 5.00м 2350р. Швеллер 520р/м. 3.07м 1600р. 2.62м 1360р. 2.22м 1150р.,0,сегодня в 15:35,Компания,"Республика Татарстан, Казань"
Труба для теплых полов,2500,https://www.avito.ru/krasnodar/remont_i_stroitelstvo/truba_dlya_teplyh_polov_2416863112,На фото указаны какие.,166,сегодня в 15:31,Частное лицо,"Краснодарский край, Краснодар"
Труба 110 толщина 4 мм метал,40,https://www.avito.ru/roslavl/remont_i_stroitelstvo/truba_110_tolschina_4_mm_metal_3029424080,Труба 110 × 4мм в наличии 6м 5.5м 4м 2.5м. Всего. 150 м. 40р. Кг. Или 420р метр. Есть и другие размеры количество и цену уточняйте по телефону.,1255,сегодня в 15:29,Частное лицо,"Смоленская область, Рославльский р-н, Рославльское городское поселение, Рославль"
"Труба 200,300,400,500,600,700,800,1000",1700,https://www.avito.ru/perm/remont_i_stroitelstvo/truba_2003004005006007008001000_3071034318,"Труба металлическая, разные диаметры, резка погрузка.",2531,сегодня в 15:29,Частное лицо,"Пермский край, Пермь"
Труба бетон 3 шт,800,https://www.avito.ru/podolsk/remont_i_stroitelstvo/truba_beton_3_sht_3553837685,Самовывоз и самопогруз. Манипулятор не подъедет в ручную нести из сада до ворот метров 30. Длина и диаметр на фото. Старинные трубы более 20 лет им. Цена за штуку 800. Также есть блоки керамзитобетон. 50 шт на паллете. 390*290*190. Шестищелевой. 60 руб штука. Можно манипулятором погрузить.,88,сегодня в 15:24,Частное лицо,"Московская область, Подольск"
Труба пнд 58 мм,5000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_pnd_58_mm_3211648481,Труба Пнд 58мм длина не могу точно сказать 6 ветков 50метров вроде.,128,сегодня в 15:22,Частное лицо,Москва
Труба 500ая железобетонная,12000,https://www.avito.ru/groznyy/remont_i_stroitelstvo/truba_500aya_zhelezobetonnaya_1041781949,Труба ж/б 500. Длина 5метров. Цена 12000₽/шт. С. Гойты.,5212,сегодня в 15:14,Частное лицо,"Чеченская Республика, Урус-Мартановский р-н"
Труба метал,1000,https://www.avito.ru/kansk/remont_i_stroitelstvo/truba_metal_2183204489,"Продам труба метал диаметр 200мм длинна 2,5м толщина 7мм. Подойдет на дымоход. В наличии 3 шт. Доставка имеется. Цена договорная. Торг.",909,сегодня в 15:14,Частное лицо,"Красноярский край, Канск"
Труба металлическая,5000,https://www.avito.ru/labinsk/remont_i_stroitelstvo/truba_metallicheskaya_3762560904,Металлическая труба на строение. Размеры вышлю если заинтересует.,1,сегодня в 15:08,Частное лицо,"Краснодарский край, Лабинский р-н, Лабинское городское поселение, Лабинск"
Сэндвич труба,4000,https://www.avito.ru/smolensk/remont_i_stroitelstvo/sendvich_truba_3492688928,"Внутренняя труба 150, внешняя 300 мм.",71,сегодня в 15:08,Частное лицо,"Смоленская область, Смоленский р-н, Хохловское сельское поселение, д. Лубня"
Труба под дорогу и дренажа,1500,https://www.avito.ru/kaluga/remont_i_stroitelstvo/truba_pod_dorogu_i_drenazha_800549335,"Труба металлическая э/с 299х5 мм, длина 10-11,5 м. Данная труба идеально подходит для футляров, отвода воды и обустройства дренажных систем. Цена за метр =1500 рублей. Возможна продажа трубы в ваш размер. Резка платная 350 рублей рез.",16315,сегодня в 15:06,Частное лицо,"Калужская область, Калуга"
Труба асбестовая,2000,https://www.avito.ru/mostovskoy/remont_i_stroitelstvo/truba_asbestovaya_3494943900,Продам трубу длина 3.30 от сломанной части диаметр 30 см.,2,сегодня в 15:04,Частное лицо,"Краснодарский край, Мостовский р-н, Мостовское городское поселение, пос. городского типа Мостовской"
Трубы стальные бесшовные d 150мм толщина 9мм,20000,https://www.avito.ru/beloomut/remont_i_stroitelstvo/truby_stalnye_besshovnye_d_150mm_tolschina_9mm_2375835593,"Продаю трубы стальные бесшовные. Диаметр 150мм толщина стенок 9мм. Всего 7 труб. Три трубы длиной 3,40. Четыре трубы длиной 1,70. Один метр стоит 1170. Общая длина 17 метров. Торг уместен.",309,сегодня в 15:03,Частное лицо,"Московская область, г.о. Луховицы, рабочий пос. Белоомут"
Труба металлическая 750 бу,7000,https://www.avito.ru/barda/remont_i_stroitelstvo/truba_metallicheskaya_750_bu_2709192683,Трубы. 1. 750мм диаметр 14метр.- 7 тысяч за 1 метр. 2. 750мм диаметр 28метр.- 7 тысяч за метр. Торг возможен.,379,сегодня в 15:02,Частное лицо,"Пермский край, Бардымский муниципальный округ, д. Верх-Шлык"
Труба металлическая,1000,https://www.avito.ru/petrovsk/remont_i_stroitelstvo/truba_metallicheskaya_1738308791,"Продаю трубы для забора, или под другие нужды — 3штук. Цена 1000 рублей за одну трубу. Трубу закопаны, в земле залиты в бетон. Выкапывать и вывозить предстоит вам. Диаметр- 10 см, высота- 2 м, толщина -2.5 см.",1319,сегодня в 14:57,Частное лицо,"Саратовская область, Петровский р-н, Петровск"
Труба стальная бу,5000,https://www.avito.ru/yaroslavl/remont_i_stroitelstvo/truba_stalnaya_bu_3311630118,"Труба б/у 530х8x 2,5м осталась одна.",285,сегодня в 14:54,Частное лицо,"Ярославская область, Ярославль"
Металлическая труба,5000,https://www.avito.ru/klintsy/remont_i_stroitelstvo/metallicheskaya_truba_3456255785,Толщина 10мм.,6,сегодня в 14:52,Частное лицо,"Брянская область, Клинцы"
Продам трубы все вопросы по телефону,0,https://www.avito.ru/shamary/remont_i_stroitelstvo/prodam_truby_vse_voprosy_po_telefonu_3167394542,"Длина по 5 м толщина 10 мм объём 1,2м.",54,сегодня в 14:49,Частное лицо,"Свердловская область, Шалинский г.о., пос. Шамары"
